Geneid	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	Entity	Symbol	is_outlier	outlier_info
gene-AUO97_RS14295	13	15	10	5	6	2	host	pobA	False	
gene-AUO97_RS01790	0	0	0	0	0	0	host	gene-AUO97_RS01790	False	
gene-AUO97_RS10835	122	64	25	32	15	8	host	gene-AUO97_RS10835	False	
gene-AUO97_RS11970	46	35	11	13	3	3	host	gene-AUO97_RS11970	False	
gene-AUO97_RS16020	42	23	14	22	10	10	host	cobU	False	
gene-AUO97_RS16060	38	32	13	12	9	7	host	gene-AUO97_RS16060	False	
gene-AUO97_RS04515	692	536	168	146	99	80	host	mlaE	False	
gene-AUO97_RS18130	2	1	4	2	3	0	host	gene-AUO97_RS18130	False	
gene-AUO97_RS07685	32	36	7	22	2	3	host	gene-AUO97_RS07685	False	
gene-AUO97_RS12665	11	10	2	5	1	0	host	gene-AUO97_RS12665	False	
gene-AUO97_RS13035	0	0	0	0	0	0	host	gene-AUO97_RS13035	False	
gene-AUO97_RS14640	0	1	0	0	0	0	host	gene-AUO97_RS14640	False	
gene-AUO97_RS03345	33	23	18	17	7	5	host	gene-AUO97_RS03345	False	
gene-AUO97_RS04785	56	32	20	15	8	7	host	gene-AUO97_RS04785	False	
gene-AUO97_RS06760	0	0	0	0	0	0	host	gene-AUO97_RS06760	False	
gene-AUO97_RS03180	257	179	89	90	43	39	host	gene-AUO97_RS03180	False	
gene-AUO97_RS04580	15	9	2	3	1	3	host	gene-AUO97_RS04580	False	
gene-AUO97_RS06670	52	63	21	22	12	11	host	gene-AUO97_RS06670	False	
gene-AUO97_RS10680	570	473	147	168	79	50	host	gene-AUO97_RS10680	False	
gene-AUO97_RS14560	15	14	8	3	0	0	host	gene-AUO97_RS14560	False	
gene-AUO97_RS02065	346	253	110	120	81	55	host	dapF	False	
gene-AUO97_RS02965	691	516	163	183	81	88	host	yccS	False	
gene-AUO97_RS02275	3	4	8	13	2	4	host	gene-AUO97_RS02275	False	
gene-AUO97_RS05445	191	168	60	86	41	26	host	gene-AUO97_RS05445	False	
gene-AUO97_RS17220	31	20	16	17	6	0	host	gene-AUO97_RS17220	False	
gene-AUO97_RS17525	200	153	99	140	56	37	host	gene-AUO97_RS17525	False	
gene-AUO97_RS18750	96	82	22	25	13	8	host	gene-AUO97_RS18750	False	
gene-AUO97_RS13500	75	87	56	56	20	15	host	gene-AUO97_RS13500	False	
gene-AUO97_RS11790	3	2	1	3	1	0	host	gene-AUO97_RS11790	False	
gene-AUO97_RS02820	181	180	67	99	35	36	host	gene-AUO97_RS02820	False	
gene-AUO97_RS04625	11	4	4	2	2	0	host	gene-AUO97_RS04625	False	
gene-AUO97_RS10475	642	587	215	244	119	99	host	ppx	False	
gene-AUO97_RS15395	347	241	92	127	58	47	host	ung	False	
gene-AUO97_RS07650	140	116	44	45	22	21	host	gene-AUO97_RS07650	False	
gene-AUO97_RS01745	0	0	0	1	0	0	host	gene-AUO97_RS01745	False	
gene-AUO97_RS01215	86	63	21	28	11	9	host	thiE	False	
gene-AUO97_RS17265	41	32	8	8	5	4	host	pcaC	False	
gene-AUO97_RS18135	12	8	5	4	3	2	host	gene-AUO97_RS18135	False	
gene-AUO97_RS17705	247	147	65	70	22	9	host	gene-AUO97_RS17705	False	
gene-AUO97_RS15450	66	61	24	38	10	10	host	gene-AUO97_RS15450	False	
gene-AUO97_RS11940	6	4	6	8	12	9	host	gene-AUO97_RS11940	False	
gene-AUO97_RS19100	30	13	5	6	1	5	host	gene-AUO97_RS19100	False	
gene-AUO97_RS12940	333	243	78	82	38	46	host	gene-AUO97_RS12940	False	
