Geneid	0_R1	0_R2	0_R3	1_R1	1_R2	1_R3	4_R2	4_R3	7_R1	7_R2	7_R3	20_R1	20_R2	20_R3	gene_length	Entity	Symbol
gene-T4p052	0.0	0.4634649944784259	13.255915074233634	32.56383424689973	25.939026245490435	21.820170714089585	5937.394850537449	3889.5343538157667	14088.837667044872	12837.125478912096	10954.104587328555	2342.4887339756333	2387.6336255149636	1910.8700396694217	390.0	phage	rpbA
gene-b0607	585.0098002483767	777.1465293776878	683.2297729960735	667.1074259428074	651.450820574934	535.8911856495288	35.921602757413496	40.21510547946693	12.141389637180824	15.290013661858424	15.93613195067478	8.037084793713145	11.057714281124442	8.136555416944526	429.0	host	uspG
gene-b0712	594.7494766463827	464.47090724779224	596.9887434661852	441.2582357517032	353.75509453949945	365.961448375213	29.327583334123215	39.064721172495126	9.414887048483697	10.863387506044171	14.294129537687283	7.424612415542722	10.107572481429171	7.266650376386951	933.0	host	pxpC
gene-b2103	598.9292860732386	728.3083335516312	729.6041841867722	453.861415491499	503.88117874128693	528.9144002306658	46.818874528117746	73.39558665209016	21.10619466256448	21.41563580240707	25.68933519540797	15.339694422757374	17.481477362898552	14.665607844211808	801.0	host	thiD
gene-b3827	147.24112686986945	120.70173339533137	159.3399414865127	98.70150401680625	99.69151613414813	100.0818496752909	8.356142189727443	9.023339770756968	2.7956064105271436	3.569750128401232	3.442623184615392	2.3334336184413833	3.3022153973671227	1.6408720090838125	900.0	host	bioP
gene-b3105	136.58617985316263	135.61388751477418	107.5007101483219	103.65005599629326	79.68266493941799	91.65931243109203	7.485793887118469	8.317107596223478	3.198634336987579	3.176617111393834	3.6794067772172654	1.4676415710258788	2.13450377820553	2.0953671140626366	897.0	host	yhaJ
gene-T4p078	0.0	0.0	39.3591974823833	115.62552801875893	93.54681356841074	96.67164240419437	3558.679610332444	3096.386558848939	4987.298511518362	5237.341471724109	4403.625667844195	5026.713296027445	5342.547218593323	5049.7883285308335	474.0	phage	gene-T4p078_gene_49
gene-b4734	85.46334063756933	79.32975822155724	107.39212357241452	121.49038338460097	129.21028961538696	74.1885804279046	5.5956309306210565	9.498252390270492	1.9618290600190484	4.67467278719209	1.496792688963214	1.7413683719711817	0.6350414225706005	0.7458509132199148	90.0	host	yldA
gene-b0142	176.0392204025647	240.24866651275403	276.753248682981	117.29292836859574	128.42242199578092	195.5632800250279	28.39782697290186	35.537495448824544	8.184505609766969	9.243103011038906	9.471891234845339	6.268926139096254	6.6083998036253115	3.0766350170321486	480.0	host	folK
gene-b3381	1.8879972158520468	2.173985283378183	2.124154925611172	1.3419409063100254	1.3807989209590006	2.0245519219258377	0.2884345840526317	0.20029117036652866	0.1516878139189986	0.06571704949192254	0.057865696738268586	0.10771350754460918	0.12275285230101814	0.057668885042776924	1164.0	host	yhfX
