Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol
gene-b3197	488	2279	715	2456	239	442	117	219	69	164	40	68	host	kdsD
gene-b4781	57	535	94	393	27	94	1	22	2	25	0	8	host	evgL
gene-b3138	2	25	6	66	1	101	0	80	0	53	0	24	host	agaB
gene-b3574	102	805	95	703	50	443	23	278	9	170	9	71	host	plaR
gene-b1711	103	729	144	650	59	240	29	150	24	107	13	36	host	btuC
gene-b0247	24	95	37	199	20	128	27	104	8	77	6	33	host	ykfG
gene-b1154	6	23	1	81	2	123	1	81	1	33	0	28	host	ycfK
gene-b0887	236	775	292	1001	80	402	49	211	36	179	24	75	host	cydD
gene-b2172	40	210	54	377	24	309	8	187	11	134	10	59	host	yeiQ
gene-b1330	31	400	67	597	24	155	3	93	5	70	1	20	host	ynaI
gene-b0872	12	47	10	116	5	171	1	123	2	82	1	29	host	hcr
gene-b3615	21	191	43	346	11	280	4	246	29	143	8	61	host	waaH
gene-b1797	7	39	7	55	3	65	1	37	1	33	0	10	host	yeaR
gene-b0781	261	2946	457	2245	143	446	54	162	49	144	39	63	host	moaA
gene-b0850	58	335	82	408	34	142	8	62	4	37	3	16	host	ybjC
gene-b0904	213	830	411	1137	198	377	60	168	45	105	15	55	host	focA
gene-b1024	50	259	173	752	40	415	11	221	11	172	7	90	host	pgaA
gene-b0122	37	631	93	298	24	130	9	53	11	52	4	39	host	yacC
gene-b3391	25	127	31	280	16	335	6	236	6	151	2	49	host	hofQ
gene-b3904	10	112	7	333	7	391	10	323	4	232	5	67	host	rhaB
gene-b0049	206	2005	489	2089	201	465	85	216	45	176	23	79	host	apaH
gene-b2580	195	900	169	1019	84	348	44	147	20	150	22	69	host	ung
gene-b2958	379	298	524	323	224	203	120	109	63	57	53	27	host	yggN
gene-b4502	32	187	49	239	25	124	11	51	7	47	6	21	host	yeiW
gene-b3832	120	400	237	701	113	466	107	339	70	220	52	99	host	rmuC
gene-b0148	224	1541	371	2044	180	673	68	382	45	244	37	94	host	hrpB
gene-b0333	11	91	13	178	4	258	5	156	1	123	0	35	host	prpC
gene-b1932	242	1032	225	914	86	221	24	84	12	46	3	27	host	yedL
gene-b4845	39	172	11	155	17	147	3	51	1	24	2	18	host	xtpA
gene-T4p233	4	0	8	1035	18	8773	4005	80809	5288	60065	1490	45714	phage	mobE
gene-b3623	119	437	51	505	53	250	1	159	5	98	0	57	host	waaU
gene-b2362	2	28	1	64	3	62	0	53	0	48	1	30	host	yfdS
gene-b1218	234	579	221	547	126	230	43	113	19	30	8	19	host	chaC
gene-b2196	37	282	63	501	36	358	14	312	13	180	12	65	host	ccmF
gene-b4455	4	38	58	166	39	136	0	50	9	25	1	14	host	hokA
gene-b1613	504	2373	465	3070	204	462	74	168	37	136	42	73	host	manA
